"ID","section","math_score","reading_score","writing_score"
"1","A",67,67,63
"2","A",40,59,55
"3","A",59,60,50
"4","A",77,78,68
"5","A",78,73,68
"6","A",63,77,76
"7","A",62,59,63
"8","A",93,88,84
"9","A",63,56,65
"10","A",47,42,45
"11","A",99,83,85
"12","A",80,87,90
"13","A",77,87,85
"14","A",74,74,73
"15","A",81,87,85
"16","A",69,61,57
"17","A",58,47,42
"18","A",54,62,65
"19","A",23,44,44
"20","A",39,32,31
"21","A",83,76,88
"22","A",58,52,55
"23","A",71,69,73
"24","A",44,55,54
"25","A",46,38,32
"26","A",51,45,42
"27","A",53,60,56
"28","A",71,68,60
"29","A",74,89,89
"30","A",33,54,51
"31","A",87,79,77
"32","A",78,74,73
"33","A",40,41,39
"34","A",65,65,71
"35","A",79,88,89
"36","A",68,74,74
"37","A",57,77,75
"38","A",67,65,54
"39","A",58,68,73
"40","A",98,81,77
"41","A",54,75,72
"42","A",77,67,64
"43","A",87,79,82
"44","A",58,70,70
"45","A",100,88,87
"46","A",60,46,51
"47","A",64,63,57
"48","A",65,76,78
"49","A",68,72,73
"50","A",60,63,57
"51","A",65,68,64
"52","A",52,58,60
"53","A",74,81,85
"54","A",36,53,49
"55","A",57,57,47
"56","A",56,60,62
"57","A",67,80,84
"58","A",88,87,83
"59","A",42,61,51
"60","A",68,51,48
"61","A",76,66,68
"62","A",58,63,59
"63","A",69,67,62
"64","A",77,82,78
"65","A",83,93,97
"66","A",49,74,70
"67","A",71,60,56
"68","A",47,46,49
"69","A",79,64,60
"70","A",60,64,57
"71","A",56,68,73
"72","A",57,52,47
"73","A",49,70,63
"74","A",79,76,81
"75","A",71,76,67
"76","A",71,77,70
"77","A",47,63,59
"78","A",72,91,81
"79","A",78,73,76
"80","A",54,43,45
"81","A",46,59,62
"82","A",31,38,42
"83","A",51,59,59
"84","A",78,76,73
"85","A",32,41,39
"86","A",53,71,69
"87","A",63,76,69
"88","A",97,93,88
"89","A",56,52,61
"90","A",72,76,72
"91","A",57,47,42
"92","A",74,71,70
"93","A",81,81,87
"94","A",94,87,93
"95","A",81,73,72
"96","A",58,63,67
"97","A",95,100,100
"98","A",45,52,49
"99","A",63,50,49
"100","A",60,54,53
"101","A",54,61,62
"102","A",75,78,79
"103","A",79,78,77
"104","A",66,67,67
"105","A",47,58,58
"106","A",70,78,82
"107","A",82,74,73
"108","A",56,38,44
"109","A",92,78,71
"110","A",30,33,33
"111","A",79,88,86
"112","A",41,52,47
"113","A",63,82,71
"114","A",43,34,33
"115","A",77,76,74
"116","A",76,79,76
"117","A",49,61,63
"118","A",59,57,55
"119","A",59,70,58
"120","A",76,90,87
"121","A",55,71,71
"122","A",78,87,89
"123","A",51,53,62
"124","A",41,43,45
"125","A",74,78,86
"126","A",62,54,58
"127","A",77,71,64
"128","A",45,52,45
"129","A",100,84,87
"130","A",83,95,100
"131","A",77,75,82
"132","A",66,70,64
"133","A",65,63,57
"134","A",62,55,56
"135","A",55,54,54
"136","A",73,78,69
"137","A",73,81,76
"138","A",48,66,68
"139","A",52,44,49
"140","A",60,72,64
"141","A",68,63,57
"142","A",65,77,83
"143","A",86,83,87
"144","A",55,62,60
"145","A",80,71,68
"146","A",51,57,57
"147","A",63,61,66
"148","A",60,55,46
"149","A",100,100,100
"150","A",46,44,44
"151","A",67,78,80
"152","A",54,67,59
"153","A",63,79,76
"154","A",68,66,73
"155","A",54,63,58
"156","A",43,44,47
"157","A",64,64,59
"158","A",92,87,87
"159","A",82,95,93
"160","A",84,78,79
"161","A",84,98,97
"162","A",65,63,65
"163","A",83,92,91
"164","A",70,75,75
"165","A",66,72,70
"166","A",71,87,92
"167","A",66,64,58
"168","A",57,64,68
"169","A",86,90,93
"170","A",80,85,83
"171","A",62,60,59
"172","A",71,71,76
"173","A",57,66,71
"174","A",69,64,62
"175","A",83,74,72
"176","A",50,56,60
"177","A",55,56,56
"178","A",55,53,51
"179","A",83,93,95
"180","A",89,87,86
"181","A",51,62,64
"182","A",48,52,49
"183","A",84,95,89
"184","A",69,83,76
"185","A",75,85,87
"186","A",91,100,99
"187","A",76,77,67
"188","A",63,61,59
"189","A",73,65,64
"190","A",52,63,53
"191","A",58,57,53
"192","A",33,51,51
"193","A",68,62,61
"194","A",77,91,89
"195","A",64,64,66
"196","A",39,49,48
"197","A",50,46,48
"198","A",53,57,51
"199","A",54,62,70
"200","A",74,63,65
"201","A",50,63,65
"202","A",55,54,47
"203","A",77,64,70
"204","A",49,64,67
"205","A",66,83,82
"206","A",77,74,75
"207","A",74,78,84
"208","A",85,78,81
"209","A",77,86,84
"210","A",64,62,66
"211","A",61,69,68
"212","A",97,88,85
"213","A",66,75,70
"214","A",62,66,64
"215","A",64,80,77
"216","A",55,57,60
"217","A",53,72,66
"218","A",71,81,77
"219","A",66,59,68
"220","A",68,61,62
"221","A",89,90,83
"222","A",65,69,74
"223","A",43,48,44
"224","A",79,77,83
"225","A",99,94,97
"226","A",82,69,72
"227","A",35,36,39
"228","A",61,71,73
"229","A",76,80,81
"230","A",94,83,82
"231","A",75,90,78
"232","A",81,75,70
"233","A",35,44,33
"234","A",76,74,72
"235","A",58,79,82
"236","A",100,91,90
"237","A",53,68,64
"238","A",82,95,96
"239","A",76,62,64
"240","A",83,75,75
"241","A",72,84,82
"242","A",76,76,83
"243","A",66,64,58
"244","A",63,65,63
"245","A",36,34,28
"246","A",68,74,71
"247","A",40,52,42
"248","A",68,71,61
"249","A",56,54,52
"250","A",74,83,80
"251","A",53,70,71
"252","A",88,65,70
"253","A",67,63,61
"254","A",60,76,65
"255","A",51,61,54
"256","A",53,66,59
"257","A",80,78,74
"258","A",69,71,67
"259","A",64,79,70
"260","A",80,87,89
"261","A",58,72,62
"262","A",39,46,50
"263","A",64,56,50
"264","A",61,66,63
"265","A",90,82,88
"266","A",73,71,64
"267","A",73,73,70
"268","A",67,76,77
"269","A",57,58,62
"270","A",65,73,72
"271","A",71,72,71
"272","A",59,69,72
"273","A",74,71,65
"274","A",93,100,93
"275","A",85,93,92
"276","A",76,83,79
"277","A",58,72,70
"278","A",72,77,77
"279","A",40,49,47
"280","A",75,73,66
"281","A",85,81,80
"282","A",100,100,100
"283","A",53,65,66
"284","A",40,42,39
"285","A",49,49,49
"286","A",77,80,80
"287","A",82,89,84
"288","A",55,48,42
"289","A",62,71,77
"290","A",69,63,59
"291","A",78,74,76
"292","A",71,77,82
"293","A",59,71,66
"294","A",60,75,70
"295","A",43,60,60
"296","A",77,83,86
"297","A",50,47,46
"298","A",56,58,52
"299","A",69,58,50
"300","A",47,43,39
"301","A",43,28,24
"302","A",48,39,40
"303","A",55,62,49
"304","A",73,68,66
"305","A",71,63,66
"306","A",54,57,60
"307","A",66,61,63
"308","A",63,63,67
"309","A",66,81,73
"310","A",79,80,75
"311","A",73,69,70
"312","A",36,57,53
"313","A",50,48,43
"314","A",87,78,80
"315","A",71,68,63
"316","A",85,87,94
"317","A",58,67,64
"318","A",86,83,81
"319","A",64,86,89
"320","A",83,85,79
"321","A",58,56,49
"322","A",59,83,81
"323","A",40,58,54
"324","A",82,83,85
"325","A",87,84,80
"326","A",62,65,64
"327","A",76,80,78
"328","A",63,69,60
"329","A",58,60,59
"330","A",61,63,65
"331","A",78,69,71
"332","A",78,90,81
"333","A",56,54,43
"334","A",96,83,82
"335","A",48,43,40
"336","A",70,76,72
"337","A",43,68,58
"338","A",45,46,49
"339","A",58,68,62
"340","A",70,73,80
"341","A",60,61,58
"342","A",52,53,47
"343","A",61,62,54
"344","A",55,70,61
"345","A",80,80,79
"346","A",63,60,54
"347","A",79,79,87
"348","A",74,78,72
"349","A",46,58,64
"350","A",72,88,92
"351","A",58,64,64
"352","A",47,50,47
"353","A",68,78,84
"354","A",68,71,67
"355","A",65,75,68
"356","A",50,54,51
"357","A",48,71,68
"358","A",58,60,64
"359","A",71,74,68
"360","A",58,52,48
"361","A",66,90,83
"362","A",44,53,43
"363","A",51,63,66
"364","A",78,83,77
"365","A",72,71,65
"366","A",60,64,67
"367","A",55,61,60
"368","A",64,67,64
"369","A",57,64,60
"370","A",70,75,74
"371","A",84,72,76
"372","A",66,71,76
"373","A",56,65,73
"374","A",59,53,56
"375","A",87,89,84
"376","A",73,75,64
"377","A",85,91,89
"378","A",49,54,42
"379","A",82,87,90
"380","A",80,90,90
"381","A",48,51,43
"382","A",85,83,94
"383","A",70,78,76
"384","A",89,84,81
"385","A",72,86,79
"386","A",80,86,87
"387","A",43,57,50
"388","A",54,61,61
"389","A",82,82,78
"390","A",74,80,78
"391","A",63,62,64
"392","A",47,56,51
"393","A",13,29,23
"394","A",67,58,56
"395","A",57,59,54
"396","A",64,78,83
"397","A",85,100,100
"398","A",70,80,86
"399","A",90,73,83
"400","A",53,70,69
"401","A",74,73,75
"402","A",61,71,67
"403","A",55,74,73
"404","A",65,63,66
"405","A",77,77,79
"406","A",74,61,56
"407","A",94,92,85
"408","A",54,64,68
"409","A",52,49,43
"410","A",73,75,71
"411","A",81,72,58
"412","A",62,75,72
"413","A",55,60,61
"414","A",55,61,61
"415","A",61,62,61
"416","A",75,70,64
"417","A",79,65,59
"418","A",70,70,68
"419","A",72,65,59
"420","A",38,46,33
"421","A",57,71,63
"422","A",76,71,70
"423","A",45,45,38
"424","A",77,73,74
"425","A",40,39,30
"426","A",78,83,78
"427","A",63,65,66
"428","A",83,70,73
"429","A",55,52,47
"430","A",88,78,76
"431","A",82,83,85
"432","A",86,71,71
"433","A",61,74,72
"434","A",78,85,93
"435","A",67,63,66
"436","A",83,87,83
"437","A",68,74,69
"438","A",53,52,44
"439","A",91,88,90
"440","A",67,66,66
"441","A",53,64,62
"442","A",86,100,100
"443","A",75,70,61
"444","A",55,38,35
"445","A",93,86,95
"446","A",62,71,66
"447","A",83,76,71
"448","A",73,72,64
"449","A",57,52,53
"450","A",70,75,75
"451","A",55,62,64
"452","A",65,56,51
"453","A",76,85,88
"454","A",59,47,46
"455","A",74,73,77
"456","A",65,59,60
"457","A",89,87,89
"458","A",71,82,82
"459","A",63,69,59
"460","A",57,55,60
"461","A",56,67,56
"462","A",49,44,41
"463","A",28,44,50
"464","A",69,73,71
"465","A",49,62,60
"466","A",67,62,58
"467","A",74,85,82
"468","A",47,67,63
"469","A",63,63,69
"470","A",73,51,53
"471","A",91,94,96
"472","A",80,87,79
"473","A",66,73,68
"474","A",52,48,43
"475","A",65,71,65
"476","A",83,75,71
"477","A",80,85,78
"478","A",68,68,59
"479","A",68,73,68
"480","A",62,43,45
"481","A",76,88,84
"482","A",77,79,83
"483","A",83,81,83
"484","A",71,78,82
"485","A",86,91,89
"486","A",93,96,96
"487","A",60,64,60
"488","A",57,56,58
"489","A",84,79,74
"490","A",66,71,75
"491","A",85,69,74
"492","A",57,68,76
"493","A",41,49,49
"494","A",75,76,76
"495","A",65,63,60
"496","A",78,65,60
"497","A",26,34,28
"498","A",71,64,66
"499","A",86,92,93
"500","A",89,84,81
